date,symbol,open,close,high,low,volume
2020-06-11T16:00:00,AAPL-EQUITY,87.33,83.98,87.77,83.87,201662452
2020-06-12T16:00:00,AAPL-EQUITY,86.18,84.7,86.95,83.56,200146052
2020-06-15T16:00:00,AAPL-EQUITY,83.31,85.75,86.42,83.15,138808920
2020-06-16T16:00:00,AAPL-EQUITY,87.87,88.02,88.3,86.18,165428728
2020-06-17T16:00:00,AAPL-EQUITY,88.79,87.9,88.85,87.77,114406504
2020-06-18T16:00:00,AAPL-EQUITY,87.85,87.93,88.36,87.31,96820384
2020-06-19T16:00:00,AAPL-EQUITY,88.66,87.43,89.14,86.29,264475808
2020-06-22T16:00:00,AAPL-EQUITY,87.84,89.72,89.87,87.79,135445264
2020-06-23T16:00:00,AAPL-EQUITY,91,91.63,93.1,90.57,212155476
2020-06-24T16:00:00,AAPL-EQUITY,91.25,90.02,92.2,89.63,192623396
2020-06-25T16:00:00,AAPL-EQUITY,90.18,91.21,91.25,89.39,137522512
2020-06-26T16:00:00,AAPL-EQUITY,91.1,88.41,91.33,88.26,205256844
2020-06-29T16:00:00,AAPL-EQUITY,88.31,90.45,90.54,87.82,130646076
2020-06-30T16:00:00,AAPL-EQUITY,90.02,91.2,91.5,90,140223284
2020-07-01T16:00:00,AAPL-EQUITY,91.28,91.03,91.84,90.98,110737236
2020-07-02T16:00:00,AAPL-EQUITY,91.96,91.03,92.62,90.91,114041468
2020-07-06T16:00:00,AAPL-EQUITY,92.5,93.46,93.95,92.47,118655652
2020-07-07T16:00:00,AAPL-EQUITY,93.85,93.17,94.66,93.06,112424456
2020-07-08T16:00:00,AAPL-EQUITY,94.18,95.34,95.38,94.09,117091880
2020-07-09T16:00:00,AAPL-EQUITY,96.26,95.68,96.32,94.67,125642608
2020-07-10T16:00:00,AAPL-EQUITY,95.34,95.92,95.98,94.71,90257320
2020-07-13T16:00:00,AAPL-EQUITY,97.27,95.48,99.96,95.26,191649140
2020-07-14T16:00:00,AAPL-EQUITY,94.84,97.06,97.26,93.88,170989364
2020-07-15T16:00:00,AAPL-EQUITY,98.99,97.73,99.25,96.49,153197932
2020-07-16T16:00:00,AAPL-EQUITY,96.56,96.52,97.41,95.91,110577672
2020-07-17T16:00:00,AAPL-EQUITY,96.99,96.33,97.15,95.84,92186900
2020-07-20T16:00:00,AAPL-EQUITY,96.42,98.36,98.5,96.06,90317908
2020-07-21T16:00:00,AAPL-EQUITY,99.17,97,99.25,96.74,103645836
2020-07-22T16:00:00,AAPL-EQUITY,96.69,97.27,97.98,96.6,89001652
2020-07-23T16:00:00,AAPL-EQUITY,97,92.85,97.08,92.01,197004432
2020-07-24T16:00:00,AAPL-EQUITY,90.99,92.62,92.97,89.15,185438864
2020-07-27T16:00:00,AAPL-EQUITY,93.71,94.81,94.91,93.48,121214192
2020-07-28T16:00:00,AAPL-EQUITY,94.37,93.25,94.55,93.25,103625500
2020-07-29T16:00:00,AAPL-EQUITY,93.75,95.04,95.23,93.71,90329256
2020-07-30T16:00:00,AAPL-EQUITY,94.19,96.19,96.3,93.77,158130020
2020-07-31T16:00:00,AAPL-EQUITY,102.88,106.26,106.42,100.83,374295468
2020-08-03T16:00:00,AAPL-EQUITY,108.2,108.94,111.64,107.89,308151388
2020-08-04T16:00:00,AAPL-EQUITY,109.13,109.67,110.79,108.39,172792368
2020-08-05T16:00:00,AAPL-EQUITY,109.38,110.06,110.39,108.9,121991952
2020-08-06T16:00:00,AAPL-EQUITY,110.41,113.9,114.41,109.8,202428900
2020-08-07T16:00:00,AAPL-EQUITY,113.21,111.11,113.68,110.29,198045612
2020-08-10T16:00:00,AAPL-EQUITY,112.6,112.73,113.78,110,212403424
2020-08-11T16:00:00,AAPL-EQUITY,111.97,109.38,112.48,109.11,187902376
2020-08-12T16:00:00,AAPL-EQUITY,110.5,113.01,113.28,110.3,165944820
2020-08-13T16:00:00,AAPL-EQUITY,114.43,115.01,116.04,113.93,210082064
2020-08-14T16:00:00,AAPL-EQUITY,114.83,114.91,115,113.05,165565208
2020-08-17T16:00:00,AAPL-EQUITY,116.06,114.61,116.09,113.96,119561444
2020-08-18T16:00:00,AAPL-EQUITY,114.35,115.56,116,114.01,105633540
2020-08-19T16:00:00,AAPL-EQUITY,115.98,115.71,117.16,115.61,145538008
2020-08-20T16:00:00,AAPL-EQUITY,115.75,118.28,118.39,115.73,126907188
2020-08-21T16:00:00,AAPL-EQUITY,119.26,124.37,124.87,119.25,338054640
2020-08-24T16:00:00,AAPL-EQUITY,128.7,125.86,128.79,123.94,345937768
2020-08-25T16:00:00,AAPL-EQUITY,124.7,124.83,125.18,123.05,211495788
2020-08-26T16:00:00,AAPL-EQUITY,126.18,126.52,126.99,125.08,163022268
2020-08-27T16:00:00,AAPL-EQUITY,127.14,125.01,127.49,123.83,155552384
2020-08-28T16:00:00,AAPL-EQUITY,126.01,124.81,126.44,124.58,187629916
2020-08-31T16:00:00,AAPL-EQUITY,127.58,129.04,131,126,225702688
2020-09-01T16:00:00,AAPL-EQUITY,132.76,134.18,134.8,130.53,152470142
2020-09-02T16:00:00,AAPL-EQUITY,137.59,131.4,137.98,127,200118991
